,OBJECTID,2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Shape_Length,Shape_Area,Net_Passengers
10,11,0.0,1.2,0.0,0,65522,14.270408900000001,49.94643117,4723.505347,55440.0,46530.0,69990.0,77850.0,112770.0,503.8441694,57293.26787999999,0.0,0.0,0.0,0.033852907,3.59e-05,0.0
11,12,0.0,0.0,0.0,0,0,0.0,0.0,0.0,71310.0,166080.0,10110.0,9300.0,9360.0,0.0,0.0,1332.527022,0.0,0.0,0.034261777,2.6300000000000002e-05,0.0
12,13,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,540.0,6300.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007038448,7.259999999999999e-07,0.0
13,14,0.0,1.4,13.89,46842,68371,2220.435784,5154.583070000001,2458.339618,0.0,9390.0,20160.0,3120.0,0.0,4569.233193,0.0,0.0,0.0,0.0,0.009106419000000001,3.23e-06,0.0
14,15,0.0,1.4,14.29,45382,68372,4755.565047,4579.433008,5812.357279999999,0.0,0.0,7320.0,6420.0,960.0,821.9857675,1028.542444,0.0,9.0,7.0,0.0053017640000000005,1.45e-06,2.0
15,16,0.0,1.6,7.69,36480,50906,1679.8935649999999,2771.8243829999997,1805.8855829999998,0.0,85410.0,35040.0,1890.0,1020.0,6691.196135,210.04304969999998,0.0,0.0,0.0,0.019528005,1.22e-05,0.0
16,17,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012940410000000001,7.27e-08,0.0
17,18,7.14,1.9,6.67,75000,86765,1318.501758,2637.003516,1494.301993,0.0,15120.0,14340.0,0.0,0.0,3315.305121,0.0,0.0,0.0,0.0,0.0071248909999999995,2.91e-06,0.0
18,19,0.0,0.0,0.0,172075,183703,87.98980431,263.9694129,162.44271559999999,273240.0,87660.0,13020.0,8670.0,0.0,6689.845319,362.331669,0.0,0.0,0.0,0.032333488,3.78e-05,0.0
19,20,0.0,2.1,7.99,82168,88345,363.0137655,907.5344137,378.6995455,1213110.0,944910.0,120270.0,26370.0,6690.0,61226.15707000001,1521.262656,288.710506,0.0,0.0,0.096405621,0.000228452,0.0
20,21,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,300.0,2220.0,5670.0,0.0,5364.534821,0.0,0.0,1.0,0.003937269,8.140000000000001e-07,-1.0
21,22,0.0,0.0,0.0,0,0,0.0,0.0,11148.0958,0.0,0.0,0.0,1200.0,10920.0,0.0,4123.6347590000005,0.0,4.0,3.0,0.004418833,1.19e-06,1.0
22,23,0.0,0.0,0.0,0,0,0.0,0.0,61406.49085,0.0,0.0,360.0,3840.0,14400.0,0.0,8333.684705,0.0,2.0,0.0,0.006179611999999999,1.84e-06,2.0
23,24,0.0,0.0,0.0,0,0,0.0,0.0,22018.388609999998,0.0,0.0,0.0,9540.0,4020.0,0.0,1863.204495,0.0,2.0,0.0,0.00480816,1.34e-06,2.0
24,25,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,180.0,0.0,0.0,0.0,0.0,0.0,0.00198,8.7e-08,0.0
25,26,10.0,2.2,12.5,68533,108299,788.1173478999999,2251.763851,1238.470118,0.0,16050.0,7050.0,0.0,0.0,1659.842103,464.92889019999996,0.0,0.0,0.0,0.005749068,2.27e-06,0.0
26,27,3.96,1.4,5.69,35000,48757,1866.479348,4337.904571,2559.953888,5610.0,175740.0,145200.0,22140.0,2700.0,35063.731289999996,4619.3708240000005,0.0,22.0,14.0,0.034816339,3.47e-05,8.0
27,28,0.0,2.1,12.5,50000,93868,983.4146512,2655.219558,1081.756116,0.0,19740.0,6600.0,0.0,0.0,3377.371853,0.0,0.0,0.0,0.0,0.006671781,2.6e-06,0.0
28,29,0.0,0.0,0.0,0,48768,42.88467628,85.76935256,7933.665111,0.0,5520.0,18840.0,29430.0,6630.0,359.0218617,6814.664398999999,0.0,22.0,13.0,0.012999955,5.97e-06,9.0
29,30,0.0,0.0,0.0,0,0,0.0,0.0,6319.563406,0.0,0.0,0.0,3210.0,18630.0,0.0,2671.218074,0.0,2.0,3.0,0.006058106999999999,2.15e-06,-1.0
30,31,0.0,0.0,0.0,0,0,0.0,0.0,3380.1438909999997,0.0,0.0,0.0,30.0,8340.0,0.0,1765.777856,0.0,0.0,2.0,0.003705545,8.33e-07,-2.0
31,32,0.0,0.0,0.0,0,0,0.0,0.0,2448.8370649999997,0.0,0.0,0.0,210.0,8250.0,0.0,2269.873167,0.0,0.0,0.0,0.003726229,8.359999999999999e-07,0.0
32,33,0.0,0.0,0.0,0,0,0.0,0.0,34387.52074,0.0,540.0,1500.0,4500.0,10140.0,0.0,3047.236079,0.0,1.0,1.0,0.006919884,1.66e-06,0.0
33,34,0.0,0.0,0.0,0,0,0.0,0.0,77931.33402000001,0.0,0.0,0.0,1950.0,36030.0,0.0,16683.24998,0.0,0.0,0.0,0.008828111999999999,3.77e-06,0.0
34,35,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10530.0,10590.0,15090.0,2910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02076439,3.87e-06,0.0
35,36,0.0,0.3,55.45,10338,14490,24632.44541,23003.85397,15675.192530000002,0.0,0.0,4650.0,8070.0,0.0,0.0,404.4747688,0.0,145.0,116.0,0.004532187,1.26e-06,29.0
36,37,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11580.0,3690.0,0.0,0.0,0.0,64.27628733,0.0,0.0,0.006135099000000001,1.5e-06,0.0
37,38,0.0,1.3,33.33,25000,39879,716.2357102000001,1289.224278,716.2357102000001,0.0,0.0,8670.0,3180.0,6240.0,793.2029677999999,4514.851850999999,0.0,0.0,0.0,0.005349878000000001,1.79e-06,0.0
38,39,0.0,1.7,33.33,41302,47327,1235.201791,3529.147975,2823.31838,0.0,0.0,7740.0,6900.0,0.0,1240.268341,1753.815688,0.0,0.0,0.0,0.004932777,1.45e-06,0.0
39,40,0.0,0.0,0.0,0,0,0.0,0.0,1876.3302780000001,0.0,0.0,2520.0,7140.0,0.0,0.0,920.7294142000001,0.0,0.0,0.0,0.004048779000000001,9.55e-07,0.0
40,41,0.0,1.9,0.0,66862,110720,3384.744633,4923.264921,1230.8162300000001,0.0,3690.0,3720.0,900.0,0.0,1675.531422,0.0,0.0,0.0,0.0,0.004382875,8.32e-07,0.0
41,42,0.0,1.5,10.0,86037,120508,3190.1595859999998,4640.232125,2610.130571,0.0,720.0,7890.0,0.0,0.0,2201.642734,0.0,0.0,0.0,1.0,0.004361616,8.82e-07,-1.0
42,43,0.0,1.7,0.0,85714,105451,2788.496685,5178.636700999999,1593.426677,0.0,1440.0,5130.0,0.0,0.0,1630.563864,190.742743,0.0,0.0,0.0,0.003669155,6.420000000000001e-07,0.0
43,44,0.0,1.8,7.69,75000,107645,4219.329249,7911.2423420000005,1582.248468,0.0,2760.0,7020.0,0.0,0.0,2136.45173,0.0,0.0,0.0,0.0,0.0045861190000000005,9.709999999999999e-07,0.0
44,45,0.0,1.7,0.0,200001,132553,625.051319,1875.153957,1041.7521980000001,0.0,3600.0,7980.0,900.0,0.0,1948.9653289999999,0.0,0.0,0.0,0.0,0.004487655,1.23e-06,0.0
45,46,12.5,1.1,26.67,26872,39296,2474.152071,8247.17357,4948.304142,0.0,900.0,9840.0,5010.0,0.0,2644.964173,111.882428,0.0,0.0,0.0,0.00520006,1.55e-06,0.0
46,47,15.79,1.1,29.41,26923,39733,2651.507398,6628.768494,3977.261097,0.0,0.0,13740.0,1860.0,0.0,2374.6712079999998,0.0,0.0,0.0,0.0,0.005175108,1.54e-06,0.0
47,48,12.82,1.1,27.59,29199,39296,3093.82415,7370.581063,5550.684504,0.0,750.0,15180.0,12570.0,0.0,3939.967151,596.2104427,140.620171,24.0,57.0,0.008344517,2.81e-06,-33.0
48,49,22.22,1.0,30.0,25000,31156,2950.1816129999997,6704.958212,5363.9665700000005,0.0,0.0,3780.0,5820.0,0.0,1400.71288,273.46844060000006,0.0,9.0,3.0,0.0040885520000000005,9.54e-07,6.0
49,50,0.0,0.0,0.0,0,0,0.0,0.0,1938.8025480000001,50970.0,55890.0,52470.0,57990.0,43050.0,0.0,24760.05513,1013.4988519999999,39.0,38.0,0.030624948,2.57e-05,1.0
50,51,20.69,1.0,28.57,23786,30150,3981.8348549999996,8173.239965000001,5763.182027000001,0.0,750.0,18990.0,4860.0,0.0,5060.694007,0.0,0.0,0.0,0.0,0.007825097,2.44e-06,0.0
51,52,0.0,1.4,41.67,29389,58945,3728.371937,4301.96762,36996.92153,0.0,0.0,60.0,1770.0,7260.0,218.3769801,1409.237981,0.0,0.0,0.0,0.004620948,8.92e-07,0.0
52,53,5.77,1.7,20.0,35000,66928,2716.545543,11952.80039,11002.00945,0.0,0.0,3270.0,15420.0,450.0,1999.711752,1720.1472850000002,0.0,12.0,28.0,0.005764188000000001,1.88e-06,-16.0
53,54,8.33,1.4,35.29,22683,58944,2123.360877,2905.651727,3576.1867399999996,0.0,0.0,11190.0,10320.0,1650.0,2273.8585329999996,2439.691742,0.0,22.0,17.0,0.006174921,2.29e-06,5.0
54,55,0.0,0.0,0.0,0,0,0.0,0.0,6194.918343,0.0,0.0,0.0,3180.0,4710.0,0.0,1959.6068920000002,0.0,0.0,4.0,0.00401314,7.85e-07,-4.0
55,56,6.67,1.3,40.38,20424,33491,3535.466243,7267.347278,3731.8810350000003,0.0,11160.0,24210.0,4170.0,0.0,4872.704614,0.0,361.339537,197.0,179.0,0.008356813000000001,3.91e-06,18.0
56,57,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,150.0,3540.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.01252369,5.22e-07,0.0
57,58,0.0,0.0,0.0,0,0,0.0,0.0,737.2991166,0.0,0.0,0.0,1080.0,12960.0,0.0,1589.019536,0.0,21.0,32.0,0.004856555,1.39e-06,-11.0
58,59,0.0,2.0,0.0,0,89076,1575.895208,1575.895208,787.9476039,0.0,1470.0,1800.0,0.0,0.0,443.5733723,0.0,0.0,0.0,0.0,0.002758198,3.25e-07,0.0
59,60,8.33,1.1,15.79,30348,42333,6720.313238,10964.7216,7074.013934999999,0.0,300.0,7050.0,0.0,0.0,816.4062642000001,0.0,0.0,0.0,0.0,0.003549802,7.23e-07,0.0
60,61,0.0,1.4,6.25,30290,54384,1704.251591,3834.5660789999997,2300.739647,0.0,17640.0,12750.0,0.0,0.0,2544.87316,0.0,0.0,0.0,0.0,0.008376484,3e-06,0.0
61,62,0.0,2.0,0.0,0,86547,97.68098785,195.3619757,97.68098785,18180.0,6330.0,1950.0,0.0,0.0,345.1175894,231.7151574,40.97477843,0.0,0.0,0.007083140999999999,2.62e-06,0.0
62,63,0.0,2.0,0.0,50000,72525,888.1239012,1395.6232730000002,634.3742152000001,0.0,16950.0,3480.0,0.0,0.0,1069.856722,0.0,151.076406,0.0,0.0,0.00557788,2.02e-06,0.0
63,64,0.0,1.4,6.58,37771,47264,380.7760274,804.3893578999999,342.6984247,202920.0,192930.0,115980.0,32670.0,0.0,26704.48643,1931.1052739999998,0.0,4.0,11.0,0.059669313,5.379999999999999e-05,-7.0
64,65,0.0,1.0,50.0,19014,34530,1065.445381,621.5098054,443.93557530000004,900.0,16530.0,10230.0,1500.0,0.0,1786.7522960000001,148.2194363,0.0,25.0,24.0,0.007328510999999999,2.88e-06,1.0
65,66,0.0,2.2,11.11,63384,108296,934.4478614,1972.7232629999999,1245.930482,0.0,20640.0,4350.0,0.0,0.0,901.8033495,443.0416327,0.0,0.0,0.0,0.006306791,2.47e-06,0.0
66,67,3.03,2.0,7.14,53673,69073,185.9835754,452.829575,5636.11096,0.0,142740.0,84420.0,60630.0,32580.0,3516.141274,25368.75795,0.0,0.0,0.0,0.033626106,3.17e-05,0.0
67,68,0.0,2.1,4.35,54188,68499,1587.346817,3791.995174,1587.346817,0.0,14310.0,15060.0,0.0,0.0,3325.481582,0.0,0.0,0.0,0.0,0.006928101,2.8999999999999998e-06,0.0
68,69,5.26,1.4,0.0,37916,47482,1207.059612,3138.354991,1689.8834559999998,0.0,21960.0,10110.0,0.0,0.0,2877.963525,0.0,0.0,0.0,0.0,0.007307141999999999,3.18e-06,0.0
69,70,0.0,0.0,0.0,0,0,0.0,0.0,1205.361568,117570.0,65580.0,85710.0,69840.0,54780.0,0.0,30759.63475,0.0,0.0,0.0,0.02966109,3.8900000000000004e-05,0.0
70,71,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1350.0,4290.0,2280.0,0.0,0.0,0.0,0.0,0.0,0.009151421,7.82e-07,0.0
71,72,2.94,1.9,33.33,50000,83603,1452.988691,3429.0533100000002,1569.227786,0.0,24600.0,19890.0,0.0,0.0,3669.9457759999996,280.4917711,0.0,0.0,0.0,0.008444344,4.4e-06,0.0
72,73,0.75,1.6,14.89,30731,37032,966.2343947999999,1786.7667780000002,1104.26788,34680.0,246090.0,52500.0,2370.0,2280.0,14891.39352,2142.6464170000004,149.3033264,0.0,0.0,0.033055506,3.34e-05,0.0
73,74,0.0,0.0,0.0,0,0,0.0,0.0,0.0,60.0,720.0,3480.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004395612,4.6399999999999997e-07,0.0
74,75,0.0,1.2,40.0,29084,34785,2761.283884,2416.123398,1380.641942,0.0,150.0,6030.0,1290.0,0.0,1493.1954779999999,0.0,0.0,3.0,16.0,0.004139655999999999,7.41e-07,-13.0
75,76,0.0,0.0,0.0,0,0,0.0,0.0,5326.181875,0.0,0.0,0.0,1290.0,5520.0,0.0,1135.246379,0.0,21.0,32.0,0.003860159,6.73e-07,-11.0
76,77,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,92160.0,2280.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200362,9.33e-06,0.0
77,78,5.26,1.5,25.0,35000,46586,3856.91116,14945.53075,5785.3667399999995,0.0,0.0,1920.0,3420.0,0.0,1146.5817,0.0,0.0,10.0,15.0,0.003029782,5.31e-07,-5.0
78,79,5.0,1.6,23.53,32911,49194,11792.38885,13012.291140000001,5286.2432770000005,0.0,0.0,2910.0,3420.0,0.0,1540.515666,0.0,0.0,0.0,0.0,0.003626907,6.29e-07,0.0
79,80,8.33,1.4,20.0,35000,47916,3004.0835039999997,7134.698322,3379.593942,0.0,0.0,5850.0,990.0,0.0,1413.8987439999999,0.0,0.0,0.0,0.0,0.003875924,6.809999999999999e-07,0.0
80,81,5.88,1.4,20.0,31818,42959,4366.72898,13464.08102,7641.775715000001,0.0,0.0,4800.0,2250.0,0.0,1954.003609,0.0,0.0,0.0,0.0,0.003887256,7.03e-07,0.0
81,82,0.0,1.0,0.0,0,55899,733.8688734,1834.672184,733.8688734,0.0,0.0,1110.0,5070.0,870.0,291.4196784,551.3354433999999,0.0,14.0,39.0,0.003982185,6.970000000000001e-07,-25.0
82,83,0.0,0.0,0.0,0,0,0.0,0.0,1459.402947,0.0,0.0,990.0,6120.0,0.0,180.80172,1304.193492,0.0,0.0,0.0,0.003943342,7.009999999999999e-07,0.0
83,84,5.88,1.2,20.0,29084,46865,2949.8406760000003,14380.4733,8480.791945,0.0,450.0,5670.0,870.0,30.0,764.6030479,0.0,0.0,0.0,0.0,0.004396374000000001,6.94e-07,0.0
84,85,0.0,1.5,25.0,29084,48220,1803.1810879999998,8114.314897,4057.1574479999995,0.0,90.0,5040.0,630.0,0.0,695.4059754,0.0,0.0,0.0,0.0,0.00323089,5.67e-07,0.0
85,86,0.0,1.0,0.0,0,55883,1218.828226,812.5521504,812.5521504,0.0,0.0,90.0,4050.0,2250.0,186.4844064,738.1183321000001,0.0,16.0,15.0,0.003421012,6.3e-07,1.0
86,87,0.0,1.4,20.0,29084,48219,1834.321775,2751.482663,1528.601479,0.0,1440.0,6990.0,60.0,0.0,991.7049844000001,0.0,0.0,0.0,0.0,0.004301384,8.37e-07,0.0
87,88,0.0,1.5,50.0,7500,55883,1148.627004,7657.513361,5743.135020000001,0.0,0.0,450.0,4890.0,1440.0,210.24039150000002,733.3223397999999,0.0,11.0,17.0,0.003523552,6.68e-07,-6.0
88,89,2.56,1.5,14.81,35838,46556,2173.4569100000003,4690.091227,2745.4192550000002,0.0,13740.0,29100.0,2430.0,0.0,5092.457902,115.453304,0.0,10.0,30.0,0.012200593000000001,4.47e-06,-20.0
89,90,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,420.0,7260.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006502198000000001,8.590000000000001e-07,0.0
90,91,0.0,1.7,16.67,41302,59384,410.32086539999995,820.6417307999999,512.9010817,24210.0,19140.0,6240.0,960.0,0.0,1141.0693210000002,220.20590950000002,266.3252838,0.0,0.0,0.012127598,4.99e-06,0.0
91,92,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2640.0,5430.0,90.0,0.0,145.9396052,0.0,0.0,0.0,0.003971944,8e-07,0.0
92,93,0.0,2.0,0.0,50000,59385,1558.571044,4675.713133,1948.213806,0.0,1740.0,4740.0,0.0,0.0,574.4458847999999,0.0,0.0,0.0,0.0,0.003955452,6.559999999999999e-07,0.0
93,94,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3000.0,4680.0,0.0,0.0,1050.602409,0.0,39.0,23.0,0.00375926,7.6e-07,16.0
94,95,0.0,0.0,0.0,0,0,0.0,0.0,0.0,17880.0,360.0,1080.0,960.0,0.0,0.0,616.2622685,0.0,0.0,0.0,0.007990103,2.12e-06,0.0
95,96,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,150.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008090710000000001,3.21e-08,0.0
96,97,20.59,0.9,29.73,25000,30395,5333.703498,11556.35758,8381.534068,0.0,0.0,19680.0,750.0,0.0,3695.150036,207.3395613,0.0,36.0,21.0,0.006553925,2.01e-06,15.0
97,98,0.0,0.0,0.0,0,0,0.0,0.0,7104.443734,0.0,0.0,0.0,2640.0,4260.0,0.0,2902.548741,0.0,29.0,13.0,0.0038803379999999997,6.84e-07,16.0
98,99,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1290.0,1560.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0076518409999999995,3.46e-07,0.0
99,100,10.0,1.3,36.36,18873,33567,3771.069447,6170.840913,3085.420456,0.0,0.0,4380.0,3150.0,0.0,1701.3191780000002,0.0,0.0,5.0,1.0,0.003975399,7.459999999999999e-07,4.0
100,101,0.0,0.0,0.0,0,0,0.0,0.0,465.09511619999995,30630.0,54690.0,92880.0,72480.0,167040.0,0.0,24340.9302,0.0,0.0,0.0,0.065178744,4.13e-05,0.0
101,102,0.0,1.3,33.33,25000,31080,642.9041114,1157.2274009999999,9772.142493000001,0.0,0.0,90.0,12570.0,7530.0,348.4682079,3407.141407,795.5124232999999,2.0,31.0,0.006014443,1.99e-06,-29.0
102,103,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1260.0,4350.0,630.0,0.0,0.0,0.0,0.0,0.0,0.008938172,6.079999999999999e-07,0.0
103,104,30.0,0.0,40.74,16738,26687,1349.173965,3736.1740579999996,3009.695769,0.0,150.0,23430.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009233666,2.47e-06,0.0
104,105,0.0,0.0,40.0,7500,26374,299.30918810000003,498.84864680000004,698.3881054999999,0.0,2880.0,22500.0,600.0,0.0,2275.060521,1118.247428,0.0,0.0,0.0,0.008236148,2.57e-06,0.0
105,106,18.6,1.0,30.23,24182,30492,4014.002417,9071.645462,6984.364206,0.0,0.0,31380.0,840.0,0.0,4629.1601200000005,884.1581489,0.0,5.0,1.0,0.008545421999999999,3.19e-06,4.0
106,107,18.6,0.9,31.58,25000,30414,2650.916562,6373.480246,4455.795924,0.0,8340.0,35790.0,1860.0,0.0,6194.379002000001,0.0,166.7608574,23.0,31.0,0.009122571999999999,4.54e-06,-8.0
107,108,20.0,1.0,33.33,25000,31156,2759.162664,6521.6572049999995,4514.9934490000005,0.0,0.0,6360.0,3990.0,0.0,1213.308937,0.0,299.3785796,16.0,18.0,0.004320132,1.02e-06,-2.0
108,109,15.0,0.9,23.08,29355,36807,4586.496005,5693.5812479999995,3004.945659,0.0,1980.0,12750.0,1680.0,0.0,2881.88185,0.0,0.0,0.0,0.0,0.005379506,1.62e-06,0.0
109,110,0.0,0.0,0.0,0,0,0.0,0.0,3168.799669,0.0,0.0,60.0,2760.0,3690.0,0.0,835.2931881,0.0,5.0,4.0,0.004281298,6.459999999999999e-07,1.0
110,111,15.38,1.0,26.67,29167,37373,2884.17105,3902.1137729999996,2035.8854469999999,0.0,1350.0,9810.0,3960.0,0.0,2122.614848,615.9845435,0.0,16.0,4.0,0.005148667,1.51e-06,12.0
111,112,0.0,1.0,0.0,0,40486,1931.019118,1287.346079,643.6730392999999,0.0,690.0,3180.0,180.0,0.0,661.6777534,0.0,0.0,0.0,0.0,0.002719873,3.98e-07,0.0
112,113,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,690.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792277,1.4e-07,0.0
113,114,0.0,1.2,33.33,25000,33230,2199.175886,2199.175886,1256.671935,0.0,2100.0,6090.0,0.0,0.0,811.9898077,0.0,0.0,0.0,0.0,0.003787705,8.15e-07,0.0
114,115,7.69,1.1,37.5,25000,34891,2616.317953,9011.761837,5523.3379,0.0,4860.0,4050.0,0.0,0.0,1169.4148300000002,0.0,0.0,0.0,0.0,0.003910899000000001,8.8e-07,0.0
115,116,9.09,1.0,33.33,29084,40491,1492.431868,3731.079671,6715.943406999999,0.0,1980.0,9210.0,2760.0,0.0,1154.348152,254.6603665,0.0,60.0,52.0,0.004800090999999999,1.37e-06,8.0
116,117,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,510.0,5640.0,480.0,0.0,0.0,0.0,0.0,0.0,0.006483912,6.32e-07,0.0
117,118,3.03,1.7,10.0,36335,47429,617.353462,1717.853112,3757.803682,0.0,33510.0,50160.0,10110.0,2700.0,3117.579398,2295.2745609999997,103.6490584,0.0,0.0,0.019783191999999998,9.53e-06,0.0
118,119,0.0,0.0,0.0,0,0,0.0,0.0,950.7247725,0.0,0.0,1290.0,6000.0,900.0,0.0,949.123394,0.0,0.0,0.0,0.0037879940000000003,8.070000000000001e-07,0.0
119,120,0.0,1.3,8.33,41089,48593,384.2938892,1097.982541,521.5417067,0.0,22710.0,42270.0,15510.0,13800.0,1740.4752469999999,7260.924822,0.0,2.0,0.0,0.02789323,9.32e-06,2.0
120,121,0.0,1.3,33.33,35000,39153,4811.977165,15037.42864,6014.971456,0.0,0.0,3360.0,990.0,0.0,800.9789802,0.0,0.0,0.0,0.0,0.003467552,4.25e-07,0.0
121,122,5.88,1.6,26.67,35000,47330,1073.9759279999998,2684.939819,1457.538759,0.0,19830.0,13950.0,0.0,0.0,2758.226432,0.0,0.0,0.0,0.0,0.007108001,3.34e-06,0.0
122,123,12.5,1.8,16.67,37489,45879,586.8772437000001,1257.594094,670.7168498999999,0.0,25560.0,5310.0,0.0,0.0,1319.078775,0.0,0.0,0.0,2.0,0.007669279,3.05e-06,-2.0
123,124,9.09,1.8,16.67,37489,45879,525.7182709,1168.262824,1927.6336600000002,15060.0,16950.0,11400.0,840.0,0.0,543.2143990000001,826.9321942,0.0,0.0,0.0,0.010471936999999999,4.38e-06,0.0
124,125,0.0,1.5,33.33,36917,44650,580.1610599999999,1392.386544,881.8448112,53100.0,34620.0,16320.0,6630.0,1050.0,2566.666611,1275.563807,0.0,0.0,0.0,0.018776166,1.1e-05,0.0
125,126,3.45,1.5,11.76,36357,45493,1711.149768,3696.0834979999995,1779.595758,0.0,26370.0,11430.0,0.0,0.0,3406.920579,0.0,0.0,0.0,0.0,0.008038581999999999,3.74e-06,0.0
126,127,0.0,1.6,30.0,37860,43409,1670.747787,3564.261946,2116.28053,0.0,6180.0,17100.0,0.0,0.0,3214.368999,0.0,0.0,0.0,0.0,0.007041662,2.3e-06,0.0
127,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30.0,2550.0,11970.0,4770.0,330.0,0.0,0.0,0.0,0.0,0.0,0.023130179,1.94e-06,0.0
128,129,5.88,1.6,11.11,37860,44310,388.1524562,859.4804388,3909.2497380000004,0.0,14640.0,21660.0,37470.0,19560.0,3196.024823,7668.028165000001,0.0,12.0,13.0,0.013392178000000001,9.23e-06,-1.0
