OBJECTID,TAZCE10,GEOID10,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,ppl_per_sqmi
123,160,4706500000160,0,0,0,4502,4497,116330.7,0,0,116468.6372
124,240,4706500000240,61813,103,112,1661,1485,29555.2,6.1,1.2,29530.29591
125,170,4706500000170,68610,268,259,3506,3293,47765.7,4.4,0.9,47733.49816
126,180,4706500000180,68794,79,97,1335,1267,15433.5,3.9,0.9,15425.26095
127,670,4706500000670,104196,1196,1809,1477,832,2415.8,2.5,1.7,2415.931299
128,680,4706500000680,184723,303,722,593,348,641.4,0,2.2,641.4387399
129,420,4706500000420,120275,471,656,694,150,1317.4,0.2,1.5,1317.430175
130,410,4706500000410,122582,93,129,603,528,5562.7,0,1.5,5560.572557
131,400,4706500000400,67416,380,558,1919,1614,6013.8,2,1.5,6013.338961
132,650,4706500000650,65533,731,782,1399,703,1579.4,4,1.6,1579.389659
133,310,4706500000310,68340,176,298,1648,1304,15287.6,6.4,1.9,15284.75288
134,330,4706500000330,58944,337,301,1783,400,16194.4,6.6,1.3,16187.58623
135,210,4706500000210,80667,1,0,69,69,997.1,0,0,996.7285821
136,390,4706500000390,0,0,0,44,44,1271.7,0,0,1272.029188
137,110,4706500000110,0,0,0,383,383,2398.2,0,0,2397.529646
138,120,4706500000120,0,0,0,3080,3079,18554.2,0,0,18549.58044
139,90,4706500000090,68792,14,12,327,314,8054.2,0,0.9,8048.494516
140,10,4706500000010,68794,81,91,1872,1800,54104,3.8,0.9,54075.42005
141,40,4706500000040,0,0,0,613,613,25974.6,0,0,25934.57214
142,350,4706500000350,58943,77,30,2445,2349,7227.3,6.8,1.3,7226.9877
143,600,4706500000600,35932,483,487,1150,345,1943.2,10.7,1.1,1943.368831
144,560,4706500000560,41784,647,586,1305,108,3240.6,11.9,1,3240.940113
145,550,4706500000550,22733,490,466,6018,5081,17057.8,16.2,0.8,17058.07291
146,540,4706500000540,36321,254,296,2689,2471,14078.5,3,1.3,14079.27019
147,340,4706500000340,58710,258,260,774,392,5750.4,6.6,1.3,5750.04298
148,230,4706500000230,80645,147,197,764,635,5959.4,1.7,1.7,5959.145658
149,70,4706500000070,68794,389,233,1032,689,7334.8,4.7,0.9,7334.578579
150,280,4706500000280,65220,82,117,95,9,407,8.2,1.6,406.9865287
151,270,4706500000270,67049,33,40,307,282,14619,5.6,1.2,14593.21094
152,260,4706500000260,65487,88,125,614,293,10477.8,7.5,1.5,10482.06811
153,250,4706500000250,67486,89,116,725,382,13757.1,7,1.1,13748.98845
154,60,4706500000060,68794,23,23,5385,5367,125524.5,7.1,0.9,125549.5487
155,30,4706500000030,68794,48,31,2555,2441,71769.7,4.7,0.9,71866.35906
156,300,4706500000300,68324,113,191,507,388,3292.2,6.5,1.8,3292.571629
157,530,4706500000530,54117,409,623,1279,665,2457.3,6.8,1.5,2457.295369
158,1070,4706500001070,74946,314,454,393,36,1159.6,4.6,1.8,1159.518208
159,1130,4706500001130,50722,699,922,1142,91,1020.5,3.5,1.4,1020.463716
160,1650,4706500001650,59323,542,1131,785,242,1555.4,3.4,2,1555.47685
161,470,4706500000470,45546,674,918,1631,483,4266.3,3.4,1.5,4266.412864
162,2990,4706500002990,31764,266,368,1118,614,3141.3,7,0.9,3141.43956
163,1030,4706500001030,19895,437,359,1437,727,9689.8,17.5,0.8,9686.883213
164,980,4706500000980,29638,510,541,2460,1523,5603.6,15.3,1.1,5603.134618
165,970,4706500000970,39768,243,319,1015,602,4403.5,13.3,1.4,4403.242572
166,460,4706500000460,51925,504,581,2217,1046,4411.1,4.4,1.5,4410.646177
167,780,4706500000780,52678,658,1156,1301,538,1835,1.1,1.6,1835.013794
168,770,4706500000770,69129,769,1080,1166,431,1239.8,7.4,2.2,1239.77498
169,760,4706500000760,253246,414,0,967,265,558.9,2,0,558.9329844
170,850,4706500000850,135146,438,737,835,255,109.5,0,1.7,109.5254087
171,1920,4706500001920,154259,891,2559,1272,63,399.8,3.2,2.7,399.7701366
172,1900,4706500001900,78828,370,462,3862,3475,3048.1,2.7,1.4,3048.101486
173,1620,4706500001620,41602,499,445,1576,717,6515.1,10.1,1.4,6515.746597
174,1600,4706500001600,86821,400,653,584,112,348.1,3.1,1.5,348.0468961
175,1590,4706500001590,116902,1138,937,875,111,670.3,2.4,1.9,670.3197605
176,1640,4706500001640,60635,897,1396,1089,50,1579.2,3.7,1.7,1579.258376
177,990,4706500000990,35129,296,524,923,209,5185.4,16.4,1.3,5186.235299
178,520,4706500000520,32446,387,477,1032,218,4723.1,10.8,1.2,4723.688583
179,630,4706500000630,0,0,0,2380,2380,1765.1,0,0,1765.093242
180,570,4706500000570,0,0,0,1275,1275,1121.7,0,0,1121.646589
181,1190,4706500001190,44151,643,1002,987,69,724,5.3,1.6,724.0217942
182,580,4706500000580,46011,158,393,2665,2475,3618,6.6,1.5,3617.865738
183,440,4706500000440,44262,36,49,546,449,2059.6,6.7,1.4,2059.326719
184,500,4706500000500,34039,582,638,1189,330,3966,14.7,1,3965.728608
185,1660,4706500001660,83385,541,1127,821,117,1608.5,10.1,1.7,1608.626728
186,1630,4706500001630,66605,848,0,3099,1858,3494.6,4.5,0,3494.534171
187,1700,4706500001700,49764,1003,1414,1043,173,448.4,1.4,1.3,448.4337798
188,1680,4706500001680,59168,513,963,880,223,770,8.8,1.6,769.9606945
189,1670,4706500001670,53483,554,919,686,135,1586.1,0,1.7,1586.288014
190,1690,4706500001690,69291,439,781,491,95,1613.5,1.1,1.7,1613.627873
191,1810,4706500001810,79721,496,643,688,23,174.2,5.8,1.8,174.2387124
192,690,4706500000690,94869,1344,1966,1236,245,1985.9,1.2,1.7,1985.780582
193,750,4706500000750,77333,1041,1928,1245,126,1218.2,6.2,1.9,1218.21261
194,740,4706500000740,53726,963,1333,1425,398,1390.1,5.7,1.4,1390.146883
195,720,4706500000720,44631,1210,1656,1794,548,1695,0.7,1.6,1694.981695
196,710,4706500000710,71744,492,779,484,101,654.7,2.1,1.6,654.6401619
197,1710,4706500001710,181802,815,1740,1222,113,874,1.7,2.3,873.9554844
198,1720,4706500001720,133314,938,1038,1757,509,1402.5,4.2,1.6,1402.509036
199,810,4706500000810,74503,257,441,897,562,263.8,6.2,1.7,263.7870266
200,2510,4706500002510,163371,442,890,899,353,332.9,0.7,2.5,332.9244797
201,2760,4706500002760,132275,881,0,1643,330,473.4,1.4,0,473.3607689
202,1950,4706500001950,93622,281,0,262,30,116.6,1,0,116.6328247
203,2240,4706500002240,89408,914,1775,1671,347,400.9,5.8,1.9,400.9174072
204,1960,4706500001960,98478,579,0,616,38,244.3,1.4,0,244.3235364
205,1970,4706500001970,45803,775,898,896,36,600.3,0,1.4,600.2917201
206,2230,4706500002230,62778,621,0,1456,487,652.7,9,0,652.7227405
207,1370,4706500001370,38911,93,0,1309,1215,833.6,2.3,0,833.5862919
208,660,4706500000660,68444,490,830,2479,1915,4979.9,1,1.4,4979.612717
209,1110,4706500001110,76856,925,1290,1211,261,1956.1,5.2,1.5,1955.955478
210,1290,4706500001290,87972,534,0,877,409,2231,2.1,0,2230.934663
211,1400,4706500001400,50115,560,695,865,247,3076.1,5.4,1.4,3076.147118
212,1220,4706500001220,62834,334,497,642,319,2283.9,4.7,1.5,2284.068612
213,1210,4706500001210,56925,643,0,856,9,1883.4,0.4,0,1883.416428
214,1460,4706500001460,66815,783,1041,2288,1634,3416.5,1.6,1.5,3416.244367
215,1380,4706500001380,43445,364,316,1932,1439,3984.3,3,1.5,3984.425806
216,1470,4706500001470,44967,1210,1595,3902,2843,4432.1,1.7,1.6,4432.078948
217,1570,4706500001570,77975,925,1538,1396,439,906.1,2.8,1.8,906.1646828
218,1560,4706500001560,55511,1297,1789,2217,875,2710.3,2.9,1.8,2710.166661
219,1200,4706500001200,52847,290,551,496,51,1502.1,6.6,1.8,1502.047936
220,1330,4706500001330,61760,517,0,720,90,1681.9,6.4,0,1681.663913
221,1320,4706500001320,38627,333,0,471,6,2558.4,7.5,0,2557.800044
222,1230,4706500001230,62995,587,705,667,145,1869.4,2.5,1.6,1869.163908
223,320,4706500000320,37288,82,91,344,247,2546.3,6,1.2,2546.492367
